decision,reason,source,source_url,title,journal,publication_date,date_evidence,pmid,doi,doi_url,article_types
"uncertain","Primary RCT of an integrative perioperative program combining mindfulness-based stress reduction with sleep, circadian, and biofeedback components; the mindfulness-specific scope is mixed, and PubMed returned a 2026-01 print date despite the 2025 pdat cutoff.","PubMed","https://pubmed.ncbi.nlm.nih.gov/41418645/","Circadian and gut-brain axis modulation is associated with neuroimmune and symptom recovery after rectal cancer surgery: An exploratory randomized controlled trial.","Behaviour research and therapy","2026-01","PubMed pdat search matched 2019-01-01 through 2025-12-31; returned print-style publication_date is 2026-01","41418645","10.1016/j.brat.2025.104943","https://doi.org/10.1016/j.brat.2025.104943","Journal Article; Randomized Controlled Trial"
"included","Primary randomized study assigning adolescents to mindfulness awareness, awareness-plus-acceptance, active-control, or blank-control groups and reporting stress-related outcomes.","PubMed","https://pubmed.ncbi.nlm.nih.gov/41061477/","Awareness as a key component of mindfulness reduces psychological stress in adolescents: Evidence from multi-method studies.","Behaviour research and therapy","2025-11","Returned PubMed publication_date metadata","41061477","10.1016/j.brat.2025.104877","https://doi.org/10.1016/j.brat.2025.104877","Journal Article; Randomized Controlled Trial; Observational Study; Research Support, Non-U.S. Gov't"
"included","Pilot RCT comparing the ACTing with Mindfulness for Pain program with CBT and reporting feasibility and treatment outcomes.","PubMed","https://pubmed.ncbi.nlm.nih.gov/40939294/","ACTing with Mindfulness for Pain (AMP): A pilot randomized controlled trial of an integrated acceptance and commitment therapy and mindfulness meditation program.","Behaviour research and therapy","2025-10","Returned PubMed publication_date metadata","40939294","10.1016/j.brat.2025.104854","https://doi.org/10.1016/j.brat.2025.104854","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"included","Primary waitlist-controlled RCT of a culturally adapted internet mindfulness program for distressed Indonesian university students.","PubMed","https://pubmed.ncbi.nlm.nih.gov/40774069/","A culturally adapted internet-delivered mindfulness intervention with counsellor guidance for reducing distress among Indonesian university students: A randomised waitlist-controlled trial.","Behaviour research and therapy","2025-10","Returned PubMed publication_date metadata","40774069","10.1016/j.brat.2025.104827","https://doi.org/10.1016/j.brat.2025.104827","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"included","Primary randomized experiment comparing a mindfulness-based interoceptive exposure task with distraction and passive control for cold-pressor pain.","PubMed","https://pubmed.ncbi.nlm.nih.gov/40737987/","A randomized-controlled trial comparing relative effects of mindfulness-based interoceptive exposure focus versus distraction on cold-pressor induced pain.","Behaviour research and therapy","2025-10","Returned PubMed publication_date metadata","40737987","10.1016/j.brat.2025.104824","https://doi.org/10.1016/j.brat.2025.104824","Journal Article; Randomized Controlled Trial"
"excluded","Explicit secondary mechanistic analysis of a randomized MORE trial; it evaluates positive-emotion regulation rather than serving as the primary trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/40305010/","Positive Emotion Dysregulation in Opioid Use Disorder and Normalization by Mindfulness-Oriented Recovery Enhancement: A Secondary Analysis of a Randomized Clinical Trial.","JAMA psychiatry","2025-07-01","Returned PubMed publication_date metadata","40305010","10.1001/jamapsychiatry.2025.0569","https://doi.org/10.1001/jamapsychiatry.2025.0569","Journal Article; Randomized Controlled Trial"
"included","Primary three-arm RCT comparing online mindfulness-based therapy, online CBT, and waitlist for sexual interest/arousal disorder.","PubMed","https://pubmed.ncbi.nlm.nih.gov/40147247/","A randomized controlled trial of online mindfulness and cognitive-behavioral interventions for sexual interest/arousal disorder in women: eSense.","Behaviour research and therapy","2025-05","Returned PubMed publication_date metadata","40147247","10.1016/j.brat.2025.104732","https://doi.org/10.1016/j.brat.2025.104732","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"excluded","Within-subject proof-of-concept fMRI study in which each participant used several worry-regulation strategies; not a parallel randomized mindfulness-intervention trial.","PubMed","https://pubmed.ncbi.nlm.nih.gov/40056706/","Direct mapping of intervention to thought features: A Bayesian proof-of-concept study.","Behaviour research and therapy","2025-04","Returned PubMed publication_date metadata","40056706","10.1016/j.brat.2025.104717","https://doi.org/10.1016/j.brat.2025.104717","Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural"
"excluded","Explicit secondary mediator/moderator analysis of an earlier trial comparing online MBSR with CBT in rheumatoid arthritis.","PubMed","https://pubmed.ncbi.nlm.nih.gov/39742659/","Mediators and Moderators of two online interventions for managing pain, fear of progression and functional ability in rheumatoid arthritis.","Behaviour research and therapy","2025-02","Returned PubMed publication_date metadata","39742659","10.1016/j.brat.2024.104676","https://doi.org/10.1016/j.brat.2024.104676","Comparative Study; Journal Article; Randomized Controlled Trial"
"excluded","Treatment-matching analysis using existing randomized MBCT-S trial data; not the primary trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/39306938/","Initial evaluation of a personalized advantage index to determine which individuals may benefit from mindfulness-based cognitive therapy for suicide prevention.","Behaviour research and therapy","2024-12","Returned PubMed publication_date metadata","39306938","10.1016/j.brat.2024.104637","https://doi.org/10.1016/j.brat.2024.104637","Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, Non-P.H.S."
