title,DOI,year,provisional topic based on title,full-text status,next action
"Water-repellent perovskite solar cell","10.1039/c4ta05413j","2014","Water-repellent device design and moisture protection","No PDF attached (0 attachments)","Obtain the full text; verify device architecture, stability protocol, test conditions, and outcomes"
"Organic–inorganic lead halide perovskite solar cell materials: A possible stability problem","10.1016/j.cplett.2014.11.063","2015","General material-stability problem in lead-halide perovskites","No PDF attached (0 attachments)","Obtain the full text; determine article type and verify the specific degradation mechanisms discussed"
"Influence of polytetrafluoroethylene (PTFE) on photovoltaic performance and perovskite solar cell stability","10.1039/d0se00555j","2020","PTFE modification and device stability","No PDF attached (0 attachments)","Obtain the full text; extract PTFE placement, controls, ageing protocol, performance metrics, and stability outcomes"
"Perovskite Solar Cell Stability Analysis Using Entropy‐Based Support Vector Machines Learning","10.1002/pip.3861","2024","Machine-learning stability analysis using entropy-based SVM","No PDF attached (0 attachments)","Obtain the full text; verify dataset provenance, features, model validation, and stability target"
"Materials, stability, and environmental aspects of perovskite solar cell: A topical review","10.1016/j.prime.2025.101093","2025","Review of materials, stability, and environmental aspects","No PDF attached (0 attachments)","Obtain the full text; use as a recent orientation source and verify review scope and evidence base"
"Stability Challenges for Perovskite Solar Cells","10.1002/cnma.201800503","2019","Review of general stability challenges","No PDF attached (0 attachments)","Obtain the full text; map the degradation categories and cited mitigation strategies"
"Barrier reinforcement for enhanced perovskite solar cell stability under reverse bias","10.1038/s41560-024-01579-7","2024","Barrier reinforcement under reverse-bias stress","No PDF attached (0 attachments)","Obtain the full text; extract barrier design, reverse-bias protocol, controls, and failure criteria"
"Stability Issues on Perovskite Solar Cells","10.3390/photonics2041139","2015","Review of general stability issues","No PDF attached (0 attachments)","Obtain the full text; identify the degradation taxonomy and distinguish evidence from proposed mechanisms"
"A Layered Hybrid Perovskite Solar‐Cell Absorber with Enhanced Moisture Stability","10.1002/anie.201406466","2014","Layered hybrid absorber for moisture stability","No PDF attached (0 attachments)","Obtain the full text; verify absorber composition, moisture exposure, comparator, and stability measurements"
"The Role of Charge Selective Contacts in Perovskite Solar Cell Stability","10.1002/aenm.201803140","2018","Charge-selective contacts and device stability","No PDF attached (0 attachments)","Obtain the full text; map contact materials to degradation pathways and supporting evidence"
"Unraveling the Combined Photothermal Stability of Common Perovskite Solar Cell Compositions","10.1021/acsenergylett.4c02325","2024","Combined light-and-heat stability across compositions","No PDF attached (0 attachments)","Obtain the full text; extract compositions, illumination and temperature conditions, kinetics, and comparative outcomes"
"2D–3D perovskite material-based solar cell device stability: a review","10.1007/s40042-025-01497-1","2025","Review of 2D–3D perovskites for device stability","No PDF attached (0 attachments)","Obtain the full text; assess review coverage, stability definitions, and cited 2D–3D design strategies"
"Stability of perovskite solar cells","10.1016/j.solmat.2015.12.025","2016","Broad review of perovskite solar-cell stability","No PDF attached (0 attachments)","Obtain the full text; use for foundational degradation taxonomy and verify cited primary evidence"
"Deuterium-substituted cations enhance perovskite solar cell efficiency and stability","10.1016/j.joule.2025.102031","2025","Deuterium-substituted cations for efficiency and stability","No PDF attached (0 attachments)","Obtain the full text; extract composition, isotope control, mechanism tests, ageing protocol, and outcomes"
"Ionic liquid-modified perovskite films for enhanced solar cell stability","10.1039/d5lf00206k","2025","Ionic-liquid film modification for stability","No PDF attached (0 attachments)","Obtain the full text; identify ionic liquid, modification route, controls, characterization, and ageing conditions"
"Halogen-free guanidinium-based perovskite solar cell with enhanced stability","10.1039/c8ra00639c","2018","Halogen-free guanidinium-based absorber and stability","No PDF attached (0 attachments)","Obtain the full text; verify material identity, device configuration, stability definition, and comparative data"
"Metastable Operating Stability of Perovskite/Silicon Tandem Solar Cell Modules","10.1109/tdmr.2025.3583339","2025","Operating stability of perovskite/silicon tandem modules","No PDF attached (0 attachments)","Obtain the full text; extract module design, operating protocol, metastability treatment, and reliability metrics"
"Mixed cation 2D perovskite: a novel approach for enhanced perovskite solar cell stability","10.1039/d1se01721g","2022","Mixed-cation 2D perovskites for stability","No PDF attached (0 attachments)","Obtain the full text; extract cation chemistry, dimensionality evidence, controls, and ageing results"
"Impedance Spectroscopy Analysis of Perovskite Solar Cell Stability","10.3390/en16134951","2023","Impedance-spectroscopy analysis of stability","No PDF attached (0 attachments)","Obtain the full text; extract equivalent-circuit assumptions, measurement conditions, ageing sequence, and interpretation"
"Big data driven perovskite solar cell stability analysis","10.1038/s41467-022-35400-4","2022","Big-data analysis of perovskite solar-cell stability","No PDF attached (0 attachments)","Obtain the full text; verify source dataset, inclusion criteria, stability labels, analytical methods, and validation"
